code_region,region,rang_vaccinal,date_debut_semaine,nb
01,GDP,1,2021-03-15,1197
01,GDP,2,2021-03-15,526
01,GDP,1,2021-03-22,1282
01,GDP,2,2021-03-22,1189
01,GDP,1,2021-03-29,1165
01,GDP,2,2021-03-29,1113
01,GDP,1,2021-04-05,1223
01,GDP,2,2021-04-05,1319
01,GDP,1,2021-04-12,1370
01,GDP,2,2021-04-12,2151
01,GDP,1,2021-04-19,1703
01,GDP,2,2021-04-19,1975
01,GDP,1,2021-04-26,2021
01,GDP,2,2021-04-26,1475
01,GDP,1,2021-05-03,1940
01,GDP,2,2021-05-03,1591
01,GDP,1,2021-05-10,1525
01,GDP,2,2021-05-10,1512
01,GDP,1,2021-05-17,1422
01,GDP,2,2021-05-17,1299
01,GDP,1,2021-05-24,615
01,GDP,2,2021-05-24,935
01,GDP,1,2021-05-31,958
01,GDP,2,2021-05-31,1490
01,GDP,1,2021-06-07,793
01,GDP,2,2021-06-07,1724
01,GDP,1,2021-06-14,680
01,GDP,2,2021-06-14,1660
01,GDP,1,2021-06-21,679
01,GDP,2,2021-06-21,1243
01,GDP,1,2021-06-28,705
01,GDP,2,2021-06-28,1129
01,GDP,1,2021-07-05,748
01,GDP,2,2021-07-05,1137
01,GDP,1,2021-07-12,878
01,GDP,2,2021-07-12,1280
01,GDP,1,2021-07-19,479
01,GDP,2,2021-07-19,1062
01,GDP,1,2021-07-26,242
01,GDP,2,2021-07-26,798
01,GDP,1,2021-08-02,131
01,GDP,2,2021-08-02,624
01,GDP,1,2021-08-09,80
01,GDP,2,2021-08-09,400
44,GES,1,2021-01-18,284
44,GES,1,2021-01-25,439
44,GES,2,2021-01-25,352
44,GES,1,2021-02-01,95
44,GES,2,2021-02-01,239
44,GES,1,2021-02-08,65
44,GES,2,2021-02-08,564
44,GES,1,2021-02-15,114
44,GES,2,2021-02-15,227
44,GES,1,2021-02-22,121
44,GES,2,2021-02-22,223
44,GES,1,2021-03-01,33
44,GES,2,2021-03-01,92
44,GES,1,2021-03-08,306
44,GES,2,2021-03-08,87
44,GES,1,2021-03-15,47798
44,GES,2,2021-03-15,9044
44,GES,1,2021-03-22,67426
44,GES,2,2021-03-22,21231
44,GES,1,2021-03-29,60419
44,GES,2,2021-03-29,39018
44,GES,1,2021-04-05,64257
44,GES,2,2021-04-05,48703
44,GES,1,2021-04-12,84133
44,GES,2,2021-04-12,64414
44,GES,1,2021-04-19,93368
44,GES,2,2021-04-19,67775
44,GES,1,2021-04-26,110092
44,GES,2,2021-04-26,58402
44,GES,1,2021-05-03,153589
